main_champion,main_champion_games,counter_champion,delta,matchup_games
Ahri,,Heimerdinger,-0.68,6670
Ahri,,Singed,1.21,1941
Ahri,,Veigar,-0.95,81174
Ahri,,Rek'Sai,-0.88,161
Ahri,,Kalista,-2.45,750
Ahri,,Rakan,-3.74,271
Ahri,,Neeko,-2.18,4759
Ahri,,Xerath,0.21,46564
Ahri,,Fizz,-0.13,65997
Ahri,,Lux,-0.48,58889
Ahri,,Naafiri,-1.52,30801
Ahri,,Kayle,-0.37,3759
Ahri,,Maokai,-3.40,266
Ahri,,Swain,0.19,9378
Ahri,,Tahm Kench,-0.17,966
Ahri,,Malzahar,0.59,85160
Ahri,,Kled,1.85,1036
Ahri,,Karthus,-1.84,1707
Ahri,,Vex,0.08,45801
Ahri,,Morgana,-0.42,7869
Ahri,,Vladimir,-0.24,37025
Ahri,,Annie,-0.94,26311
Ahri,,Syndra,-0.48,80046
Ahri,,Teemo,0.19,4432
Ahri,,Mordekaiser,2.25,2321
Ahri,,Viktor,0.18,81486
Ahri,,Kog'Maw,-0.11,2378
Ahri,,Nasus,2.71,7032
Ahri,,Zed,-1.48,87277
Ahri,,Katarina,-1.26,70366
Ahri,,Ekko,-0.19,34845
Ahri,,Mel,-4.54,53935
Ahri,,Yasuo,-1.56,104896
Ahri,,Illaoi,1.26,934
Ahri,,Ziggs,-0.25,10211
Ahri,,Diana,0.07,45805
Ahri,,Kassadin,-0.15,22728
Ahri,,Twisted Fate,0.20,41075
Ahri,,Jhin,-2.83,2584
Ahri,,Vel'Koz,0.69,10159
Ahri,,Yorick,0.29,2794
Ahri,,Lissandra,0.62,42417
Ahri,,Fiddlesticks,1.85,863
Ahri,,Quinn,1.67,3292
Ahri,,Brand,0.67,13011
Ahri,,Hwei,0.80,39260
Ahri,,Akshan,-1.01,23957
Ahri,,Talon,-0.80,18959
Ahri,,Sylas,-0.51,103180
Ahri,,Camille,-1.07,574
Ahri,,Zilean,2.60,2654
Ahri,,Urgot,0.35,586
Ahri,,Gwen,2.45,9839
Ahri,,Draven,-2.41,810
Ahri,,Kennen,2.16,3784
Ahri,,Zoe,-0.66,28535
Ahri,,Gangplank,0.50,6383
Ahri,,Jarvan IV,0.36,710
Ahri,,Ambessa,1.72,2192
Ahri,,Dr. Mundo,-0.35,1712
Ahri,,LeBlanc,-0.26,47376
Ahri,,Zyra,0.20,2568
Ahri,,Poppy,0.89,224
Ahri,,Sion,2.28,5642
Ahri,,Tryndamere,4.35,3415
Ahri,,Irelia,0.28,28744
Ahri,,Malphite,1.91,8244
Ahri,,Vayne,-0.87,1651
Ahri,,Briar,4.52,2927
Ahri,,Garen,3.48,4267
Ahri,,Aurora,0.05,23439
Ahri,,Pantheon,2.68,9402
Ahri,,Olaf,2.23,493
Ahri,,Darius,0.44,739
Ahri,,Aurelion Sol,1.61,16717
Ahri,,Shen,2.35,806
Ahri,,Xin Zhao,1.77,2092
Ahri,,Wukong,2.26,982
Ahri,,Gragas,2.76,3460
Ahri,,Tristana,-1.03,8905
Ahri,,Seraphine,-0.40,3213
Ahri,,Evelynn,1.08,157
Ahri,,Karma,-0.78,1804
Ahri,,Zac,4.19,909
Ahri,,Twitch,-0.55,1963
Ahri,,Yone,1.62,90182
Ahri,,Locke,0.41,61360
Ahri,,Anivia,1.93,21756
Ahri,,Taliyah,-0.25,10925
Ahri,,Qiyana,-0.92,18743
Ahri,,Galio,1.80,43670
Ahri,,Nidalee,-1.92,684
Ahri,,Cho'Gath,2.43,5141
Ahri,,Ryze,-0.45,26044
Ahri,,Elise,1.83,295
Ahri,,Samira,-3.17,561
Ahri,,Aphelios,-0.90,585
Ahri,,Akali,1.25,74182
Ahri,,Caitlyn,-1.47,3249
Ahri,,Smolder,-0.44,4694
Ahri,,Master Yi,2.16,1686
Ahri,,Nocturne,3.94,713
Ahri,,Jinx,-0.38,467
Ahri,,Sett,6.00,1613
Ahri,,Fiora,4.51,717
Ahri,,Nunu & Willump,1.44,2234
Ahri,,Rumble,3.52,1264
Ahri,,Vi,2.23,826
Ahri,,Cassiopeia,0.60,16109
Ahri,,Varus,-0.89,2753
Ahri,,Pyke,-1.09,698
Ahri,,Xayah,0.40,218
Ahri,,Jayce,1.55,6139
Ahri,,Orianna,0.14,30514
Ahri,,Kayn,2.23,378
Ahri,,Miss Fortune,-0.49,2143
Ahri,,Zeri,0.81,619
Ahri,,Trundle,2.13,314
Ahri,,Sejuani,2.94,389
Ahri,,Viego,3.33,1999
Ahri,,Ornn,3.13,612
Ahri,,Kai'Sa,-0.10,3715
Ahri,,Warwick,5.09,364
Ahri,,Soraka,-2.25,274
Ahri,,Azir,0.82,17856
Ahri,,Kindred,-0.52,378
Ahri,,Aatrox,3.78,1257
Ahri,,Ezreal,-1.54,6016
Ahri,,Renekton,6.65,1371
Ahri,,Sivir,-1.87,544
Ahri,,Riven,5.61,4989
Ahri,,Graves,2.36,903
Ahri,,Ashe,-0.12,1953
Ahri,,Gnar,2.04,390
Ahri,,Leona,-4.88,101
Ahri,,Thresh,-1.64,303
